Lugar,Chapa,Peso,Inflorescencias,Ubicación,Circunferencia
10 L,127,80.92,106,L,72
10 L,131,71.87,130,L,73
10 C,190,42.25,46,C,585
10 C,180,27.95,51,C,51
10 D,186,1.36,4,D,19
10 D,128,,,D,
17 D,56,1.6,8,D,18
17 D,55,11.19,13,D,30.5
17 C,66,2.97,12,C,31
17 C,76,6.92,21,C,38
17 L,81,30.48,47,L,51
17 L,79,98.38,150,L,70
25 D,152,6.48,17,D,33
25 D,232,1.09,3,D,20
25 C,32,13.01,19,C,46.5
25 C,34,20.49,47,C,40.5
25 L,155,26.15,52,L,52
25 L,41,21.99,31,L,50
24 D,130,1.19,4,D,31
24 D,184,0.55,4,D,27
24 C,186,35.26,41,C,52.5
24 C,164,56.62,41,C,64
24 L,169,18.62,50,L,50
24 L,167,10.73,25,L,
L4,90,0.58,2,D,24.5
L4,91,0.11,0,D,11
23 C,337,8.66,,C,37
23 C,335,40.9,87,C,70.5
23 L,351,45.49,58,L,65
23 L,346,20.63,12,L,57
L7,371,9.12,5,V,20
L7,370,2.36,1,V,38
498,362,,,V,
495,364,,,V,22
397,239,0.66,0,V,12
397,367,0.86,0,V,9
394,509,,,V,
394,510,0.33,0,V,11
L6,507,0.31,1,V,18
L6,508,,,V,
